target_window_start,target_window_end,mean_target_absorbed_dose_rate,std_target_absorbed_dose_rate,target_window_num_rad_dose_obs_avail,class_label,input_sdoml_data_filepaths,num_input_sdoml_data_filepaths,input_window_start,input_window_end,input_window_num_rad_dose_obs_avail,radlab_data_filepath,sample_id,instrument_id
2022-11-01 06:00:00+00:00,2022-11-01 12:00:00+00:00,9.384236111111111,0.3358999638087634,6,1,[],0,2022-10-31 17:30:00+00:00,2022-11-01 05:30:00+00:00,6,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-01 06:00:00+00:00_2022-11-01 12:00:00+00:00,CRaTER-D1D2
2022-11-01 12:00:00+00:00,2022-11-01 18:00:00+00:00,9.219375000000001,0.17694467610747042,6,1,[],0,2022-10-31 23:30:00+00:00,2022-11-01 11:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-01 12:00:00+00:00_2022-11-01 18:00:00+00:00,CRaTER-D1D2
2022-11-01 18:00:00+00:00,2022-11-02 00:00:00+00:00,9.569166666666668,0.4584087690446565,6,1,[],0,2022-11-01 05:30:00+00:00,2022-11-01 17:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-01 18:00:00+00:00_2022-11-02 00:00:00+00:00,CRaTER-D1D2
2022-11-02 00:00:00+00:00,2022-11-02 06:00:00+00:00,9.563958333333334,0.17404962674319205,6,1,[],0,2022-11-01 11:30:00+00:00,2022-11-01 23:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-02 00:00:00+00:00_2022-11-02 06:00:00+00:00,CRaTER-D1D2
2022-11-02 06:00:00+00:00,2022-11-02 12:00:00+00:00,9.623541666666666,0.17053781180321678,6,1,[],0,2022-11-01 17:30:00+00:00,2022-11-02 05:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-02 06:00:00+00:00_2022-11-02 12:00:00+00:00,CRaTER-D1D2
2022-11-02 12:00:00+00:00,2022-11-02 18:00:00+00:00,9.918750000000001,0.2380737465498794,6,1,[],0,2022-11-01 23:30:00+00:00,2022-11-02 11:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-02 12:00:00+00:00_2022-11-02 18:00:00+00:00,CRaTER-D1D2
2022-11-02 18:00:00+00:00,2022-11-03 00:00:00+00:00,9.674444444444445,0.2836431788922459,6,1,[],0,2022-11-02 05:30:00+00:00,2022-11-02 17:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-02 18:00:00+00:00_2022-11-03 00:00:00+00:00,CRaTER-D1D2
2022-11-03 00:00:00+00:00,2022-11-03 06:00:00+00:00,9.657361111111113,0.23065785882884252,6,1,[],0,2022-11-02 11:30:00+00:00,2022-11-02 23:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-03 00:00:00+00:00_2022-11-03 06:00:00+00:00,CRaTER-D1D2
2022-11-03 06:00:00+00:00,2022-11-03 12:00:00+00:00,9.737291666666668,0.1433825315274578,6,1,[],0,2022-11-02 17:30:00+00:00,2022-11-03 05:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-03 06:00:00+00:00_2022-11-03 12:00:00+00:00,CRaTER-D1D2
2022-11-03 12:00:00+00:00,2022-11-03 18:00:00+00:00,9.776041666666666,0.2751539709955682,6,1,[],0,2022-11-02 23:30:00+00:00,2022-11-03 11:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-03 12:00:00+00:00_2022-11-03 18:00:00+00:00,CRaTER-D1D2
2022-11-03 18:00:00+00:00,2022-11-04 00:00:00+00:00,9.502152777777779,0.3942221167735203,6,1,[],0,2022-11-03 05:30:00+00:00,2022-11-03 17:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-03 18:00:00+00:00_2022-11-04 00:00:00+00:00,CRaTER-D1D2
2022-11-04 00:00:00+00:00,2022-11-04 06:00:00+00:00,9.834791666666668,0.21955193613820967,6,1,[],0,2022-11-03 11:30:00+00:00,2022-11-03 23:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-04 00:00:00+00:00_2022-11-04 06:00:00+00:00,CRaTER-D1D2
2022-11-04 06:00:00+00:00,2022-11-04 12:00:00+00:00,9.810902777777777,0.34717322570971787,6,1,[],0,2022-11-03 17:30:00+00:00,2022-11-04 05:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-04 06:00:00+00:00_2022-11-04 12:00:00+00:00,CRaTER-D1D2
2022-11-04 12:00:00+00:00,2022-11-04 18:00:00+00:00,9.838263888888891,0.2483951284816095,6,1,[],0,2022-11-03 23:30:00+00:00,2022-11-04 11:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-04 12:00:00+00:00_2022-11-04 18:00:00+00:00,CRaTER-D1D2
2022-11-04 18:00:00+00:00,2022-11-05 00:00:00+00:00,9.586041666666667,0.28922567341444116,6,1,[],0,2022-11-04 05:30:00+00:00,2022-11-04 17:30:00+00:00,12,/home/daisysong/2024-HL-Virtual-Dosimeter/data/google_cloud_buckets/radlab-private/data_tables/readings_table/per_instrument_padded/CRaTER-D1D2_readings_padded.csv,CRaTER-D1D2_2022-11-04 18:00:00+00:00_2022-11-05 00:00:00+00:00,CRaTER-D1D2
